Name,Other Names
. Abbott,
Hannah Abbott,
Abel Treetops,
Euan Abercrombie,
Aberforth Dumbledore,
Abernathy,
Abraham Peasegood,
Abraham Potter,
Abraxas Malfoy,
Achilles Tolliver,
Stewart Ackerley,
Adalbert Waffling,
Adrian Pucey,
Adrian Tutley,
Agatha Chubb,
Agatha Timms,
Agilbert Fontaine,
Agnes,
Cornelius Agrippa,
Aidan Kiely,
Aidan Lynch,
Alasdair Maddock,
Alastor Gumboil,
Mad-Eye Moody,alastor
Albanian peasant,
Alberic Grunnion,
Alberta Toothill,
Albert Boot,
Albert Jorkins,
Albert Runcorn,
Albert Tillyman,
Albus Dumbledore,
Albus Potter,al
Alderton,
Arkie Alderton,
Alecto Carrow,
Alfred Cattermole,
Alguff the Awful,
Ali Bashir,
Alice Longbottom,
Alicia Spinnet,
Aliko Okoye,
Raul Almeida,
Almerick Sawbridge,
Alejandra Alonso,
Alphard Black,
Altheda,
Amarillo Lestoat,
Amata,
Ambrosius Flume,
Amelia Susan Bones,
Amos Diggory,
Amy Benson,
Amycus Carrow,
P.C. Anderson,
Andorran Minister for Magic,
Andrew Kirke,
Andromeda Tonks,dromeda
Andros the Invincible,
Angelina Johnson,
Angelus Peel,
Angus Buchanan,
Angus Campbell,
Angus Fleet,
Angus McMangus,
Annis Black,
Anthony Goldstein,
Antioch Peverell,
Antonin Dolohov,
Antonio,
Apolline Delacour,
Apollyon Pringle,
. Figg,
Aragog,
Araminta Meliflua,
Archer Evermonde,
Archibald Alderton,
Archie,
Archie Aymslowe,
Arcus,
Argus Filch,
Argus Pyrites,
Ariana Dumbledore,
Aristotle Twelvetrees,
Arkie Philpott,
Armand Malfoy,
Armando Dippet,
Armenian warlock,
Arnold,
Arnold Guzman,
Arnie Peasegood,
Arnulf Moe,
Arsenia Gonzales,
Arsenius Jigger,
Artemisia Lufkin,
Artemius Lawson,
Arthur Weasley,
Arturo Cephalopos,
Asha,
Astoria Greengrass,
Over-Attentive Wizard,
Bertram Aubrey,
Audrey Weasley,
"Augusta ""Gran"" Longbottom",
Augustus Pye,
Augustus Rookwood,
Augustus Worme,
Auntie Muriel,
Aunt Marge Dursley,
Aurelius Dumbledore,
Aurora Sinistra,
Avery,
Babajide Akingbade,
Babayaga,
Babbitty Rabbitty,
Bagman Sr.,
Ludo Bagman,
Otto Bagman,
Millicent Bagnold,
Bathilda Bagshot,batty
Kquewanda Bailey,
Ballyfumble Stranger,"quin, quivering quintus, quintusofthesillyname"
Bandon Banshee,
Bane,
Heathcote Barbary,
José Barboza,
Bartholomew Barebone,
Chastity Barebone,
Credence Barebone,
Barebone Family,
Mary Lou Barebone,
Modesty Barebone,
Lucas Bargeworthy,
Barker,
Barnabas the Barmy,
Barnabas Cuffe,
Barnabas Deverill,
Barnabus Finkley,
Barnaby Snell,
Cousin Barny,
Barny the Fruitbat,
Barry Ryan,
Barty Crouch Jr.,
Barty Crouch Sr.,
Baruffio,
Basil,
Basil Flack,
Basil Horton,
Bathsheda Babbling,
Charlie Baverstock,
Beatrix Bloxam,
Beaumont Marjoribanks,
Beedle the Bard,
Herbert Beery,
. Belby,
Humphrey Belcher,
Katie Bell,
Brother Benedict,
Benedita Dourado,
Benjy Fenwick,
Benjy Williams,
Bernadette,
Bernie Pillsworth,
Bertha Jorkins,
Bertha Jorkins' second cousin,
Berthilde Roche,
Bertie Bott,
Bertie Higgs,
Bertrand de Pensées-Profondes,
BF,
Bill Weasley,
Billy Stubbs,
. Bingley,
Binky,
Professor Binns,
